FID,x,y,lineament_dens,drainage_dens,curah_hujan,litologi,slope,elevasi,potensi
1683,108.2577,-7.41888,0.389855,189.9586,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1684,108.2627,-7.41888,0.362969,209.9543,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1685,108.2678,-7.41888,0.362969,229.9499,250,Breksi_dan_Piroklastik_Muda,2,6,Baik
1686,108.2728,-7.41888,0.362969,249.9456,250,Batuan_Sedimen,2,6,Baik
1687,108.2327,-7.41521,0.470515,129.9717,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1688,108.2377,-7.41521,0.443628,129.9717,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1689,108.2427,-7.41521,0.443628,129.9717,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1690,108.2477,-7.41521,0.416742,149.9673,250,Breksi_dan_Piroklastik_Muda,2,7,Buruk
1691,108.2527,-7.41521,0.389855,149.9673,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1692,108.2577,-7.41521,0.362969,169.963,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1693,108.2627,-7.41521,0.362969,189.9586,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1694,108.2678,-7.41521,0.336082,209.9543,250,Breksi_dan_Piroklastik_Muda,2,6,Baik
1695,108.2728,-7.41521,0.362969,229.9499,250,Batuan_Sedimen,3,6,Baik
1696,108.2327,-7.41154,0.416742,129.9717,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1697,108.2377,-7.41154,0.416742,129.9717,250,Breksi_dan_Piroklastik_Muda,2,7,Buruk
1698,108.2427,-7.41154,0.389855,129.9717,250,Breksi_dan_Piroklastik_Muda,1,7,Buruk
1699,108.2477,-7.41154,0.389855,129.9717,250,Breksi_dan_Piroklastik_Muda,2,7,Buruk
1700,108.2527,-7.41154,0.362969,149.9673,250,Batuan_Sedimen,1,6,Buruk
1701,108.2577,-7.41154,0.336082,169.963,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1702,108.2627,-7.41154,0.336082,189.9586,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1703,108.2678,-7.41154,0.336082,209.9543,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1704,108.2728,-7.41154,0.336082,229.9499,250,Batuan_Sedimen,3,6,Baik
1705,108.2327,-7.40787,0.389855,129.9717,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1706,108.2377,-7.40787,0.362969,109.9761,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1707,108.2427,-7.40787,0.362969,109.9761,250,Breksi_dan_Piroklastik_Muda,2,7,Buruk
1708,108.2477,-7.40787,0.336082,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1709,108.2527,-7.40787,0.336082,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1710,108.2577,-7.40787,0.309195,149.9673,250,Batuan_Sedimen,2,6,Baik
1711,108.2627,-7.40787,0.309195,169.963,250,Breksi_dan_Piroklastik_Muda,2,6,Baik
1712,108.2678,-7.40787,0.309195,209.9543,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1713,108.2728,-7.40787,0.336082,229.9499,250,Batuan_Sedimen,3,6,Baik
1714,108.2327,-7.4042,0.336082,109.9761,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1715,108.2377,-7.4042,0.336082,109.9761,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1716,108.2427,-7.4042,0.336082,109.9761,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1717,108.2477,-7.4042,0.309195,109.9761,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1718,108.2527,-7.4042,0.309195,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1719,108.2577,-7.4042,0.309195,149.9673,250,Breksi_dan_Piroklastik_Muda,2,6,Baik
1720,108.2627,-7.4042,0.282309,169.963,250,Batuan_Sedimen,1,6,Baik
1721,108.2678,-7.4042,0.309195,189.9586,250,Breksi_dan_Piroklastik_Muda,3,6,Baik
1722,108.2728,-7.4042,0.309195,209.9543,250,Batuan_Sedimen,3,6,Baik
1723,108.2778,-7.4042,0.336082,229.9499,250,Batuan_Sedimen,1,5,Baik
1724,108.2327,-7.40053,0.282309,109.9761,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1725,108.2377,-7.40053,0.282309,109.9761,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1726,108.2427,-7.40053,0.282309,109.9761,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1727,108.2477,-7.40053,0.282309,109.9761,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1728,108.2527,-7.40053,0.282309,129.9717,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1729,108.2577,-7.40053,0.282309,149.9673,250,Breksi_dan_Piroklastik_Muda,2,6,Baik
1730,108.2627,-7.40053,0.282309,169.963,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1731,108.2678,-7.40053,0.282309,189.9586,250,Breksi_dan_Piroklastik_Muda,2,6,Baik
1732,108.2728,-7.40053,0.282309,209.9543,250,Batuan_Sedimen,3,6,Baik
1733,108.2327,-7.39686,0.255422,109.9761,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1734,108.2377,-7.39686,0.255422,109.9761,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1735,108.2427,-7.39686,0.255422,109.9761,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1736,108.2477,-7.39686,0.255422,109.9761,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1737,108.2527,-7.39686,0.255422,129.9717,250,Breksi_dan_Piroklastik_Muda,2,6,Baik
1738,108.2577,-7.39686,0.255422,149.9673,250,Breksi_dan_Piroklastik_Muda,2,6,Baik
1739,108.2627,-7.39686,0.255422,169.963,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1740,108.2678,-7.39686,0.255422,189.9586,250,Batuan_Sedimen,2,6,Baik
1741,108.2728,-7.39686,0.282309,189.9586,250,Batuan_Sedimen,2,6,Baik
1742,108.2327,-7.39319,0.201649,109.9761,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1743,108.2377,-7.39319,0.201649,109.9761,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1744,108.2427,-7.39319,0.201649,109.9761,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1745,108.2477,-7.39319,0.201649,109.9761,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1746,108.2527,-7.39319,0.201649,129.9717,250,Breksi_dan_Piroklastik_Muda,2,6,Baik
1747,108.2577,-7.39319,0.228536,149.9673,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1748,108.2627,-7.39319,0.228536,149.9673,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1749,108.2678,-7.39319,0.228536,169.963,250,Breksi_dan_Piroklastik_Muda,1,5,Baik
1750,108.2327,-7.38952,0.147876,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1751,108.2377,-7.38952,0.174763,109.9761,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1752,108.2427,-7.38952,0.174763,109.9761,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1753,108.2477,-7.38952,0.174763,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1754,108.2527,-7.38952,0.174763,129.9717,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1755,108.2577,-7.38952,0.201649,149.9673,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1756,108.2627,-7.38952,0.201649,149.9673,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1757,108.2678,-7.38952,0.228536,169.963,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
